sy_dist,st_spectype,sy_vmag,st_teff
144.49,K,6.2893,4153.0
190.953,K,8.36,4947.0
28.2697,G,7.03,5961.0
43.6002,G,7.43,6091.98
43.6002,G,7.43,6091.98
87.8888,G,9.18,5907.0
165.76,K,8.38,5027.0
107.898,G,8.855,6310.0
107.898,G,8.855,6310.0
44.8155,K,9.1,5125.0
44.8155,K,9.1,5125.0
17.9412,K,7.83,4837.0
17.9412,K,7.83,4837.0
17.9412,K,7.83,4837.0
48.4549,F,7.39,6124.0
18.2692,K,6.59,5374.0
18.284,G,6.76,5468.0
100.947,K,6.1552,4909.0
63.0484,G,8.21,5743.0
63.4482,G,7.24,5589.0
63.4482,G,7.24,5605.0
57.7995,F,7.0092,6239.0
43.6197,G,7.28,5905.0
43.6197,G,7.28,5900.0
27.561,G,7.0,5771.84
27.561,G,7.0,5771.84
48.249,G,5.53,6419.19
48.249,G,5.53,6419.19
36.1945,G,8.07,5453.0
36.1945,G,8.07,5458.24
56.8655,F,6.67,5900.0
24.3323,K,8.43,4850.0
24.3323,K,8.43,4903.69
47.7332,G,6.5,6090.0
94.8625,K,7.47,4860.0
27.0498,G,6.47915,5801.89
27.0498,G,6.47915,5801.89
27.0498,G,6.47915,5801.89
27.0498,G,6.47915,5801.89
27.0498,G,6.47915,5801.89
283.659,K,5.72291,4069.0
45.5621,K,9.78,4757.0
45.5621,K,9.78,4757.0
73.3055,G,8.65,6123.0
73.3055,G,8.65,6123.0
55.8503,G,7.24,5534.0
55.8503,G,7.24,5534.0
88.8047,K,7.52,4915.0
88.8047,K,7.52,4915.0
15.5981,G,5.12,5773.0
15.5981,G,5.12,5773.0
15.5981,G,5.12,5773.0
15.5981,G,5.12,5773.0
107.188,G,5.88375,4786.0
37.7861,G,6.834,5757.0
59.859,G,7.297,5981.0
30.8248,K,9.1,4723.0
67.7855,G,8.0,5522.0
67.7855,G,8.0,5522.0
25.3936,G,5.78,5841.0
53.1119,G,8.1,5859.0
28.254,G,7.08597,5790.0
39.3633,K,9.62,4684.0
22.0016,G,7.01227,5390.0
22.0016,G,7.01227,5390.0
22.0016,G,7.01227,5390.0
22.0016,G,7.01227,5393.43
57.4263,G,8.42,5870.0
63.3574,G,9.36,5426.0
117.908,F,8.17,6317.0
45.1342,K,9.33,5127.0
49.6633,K,5.98796,4919.0
54.3258,G,8.9,5474.0
107.214,G,5.98894,4851.0
23.3032,G,6.295,5778.33
39.6245,G,6.92122,5491.0
39.6245,G,6.92122,5491.0
41.5681,G,7.95,5570.0
39.8979,G,9.35,4905.0
752.615,K,9.19,4374.0
39.7401,K,9.44,4866.12
113.6,G,8.156,7246.0
37.6048,F,5.9,6300.0
37.6048,F,5.9,6179.26
60.178,G,8.21,5842.0
228.422,K,7.732,4326.0
111.659,G,8.292,5671.0
44.8113,G,8.61,5440.0
78.0863,G,8.17,6040.0
132.184,G,6.04188,4683.0
234.027,K,6.28209,4308.0
71.0863,G,8.01,5635.0
129.603,G,8.020001,5013.0
40.3303,G,8.6,5392.0
44.4264,G,7.535,5904.0
27.7843,K,8.42,4931.0
27.7843,K,8.42,4931.0
16.9179,G,6.15,5627.0
62.7674,K,7.18,4901.0
62.7674,K,7.18,4949.0
40.9727,G,7.97,5588.0
69.7116,G,7.95,5646.0
27.4573,F,6.25,6168.0
137.043,K,7.93,5131.0
123.801,G,7.89,5603.0
122.362,K,6.61519,4917.0
5.91059,M,9.12,3534.0
104.577,K,7.78,4961.0
47.7458,G,8.59,5386.0
120.391,K,7.55,4945.0
22.5243,K,7.518,5078.0
22.5243,K,7.518,5078.0
26.8762,K,8.4,4918.0
26.8762,K,8.4,4962.0
26.8762,K,8.4,4962.0
60.2046,G,7.84,5736.0
54.1955,G,7.86,5948.0
54.1955,G,7.86,5875.99
57.2651,G,8.67,5784.0
60.7993,K,5.88639,4971.0
60.7993,K,5.88639,4971.0
60.7993,K,5.88639,4971.0
224.146,M,5.50474,3860.0
51.9917,G,6.67973,5923.0
31.395,K,9.03,4848.0
38.5653,K,8.99,5145.0
45.8993,G,7.22,6117.0
45.9548,G,7.83,5790.0
45.9548,G,7.83,5790.0
162.685,G,7.81,4940.0
