sy_vmag,glon,glat,st_spectype,sy_dist
6.59,304.86901,-37.14415,G6 V,17.5559
11.041,295.46265,-62.85069,,16.6186
11.403,287.95198,-69.52189,,22.4751
11.403,287.95198,-69.52189,M2 V,22.4751
10.8275,185.99827,-69.01004,M0,28.4712
10.8275,185.99827,-69.01004,M0,28.4712
10.8275,185.99827,-69.01004,M0,28.4712
12.4,246.79531,11.19034,,15.1968
12.4,246.79531,11.19034,M3.5 V,15.1968
12.4,246.79531,11.19034,M2.5 V,15.1968
12.4,246.79531,11.19034,,15.1968
12.4,246.79531,11.19034,M2.5 V,15.1968
12.4,246.79531,11.19034,,15.1968
12.4,246.79531,11.19034,,15.1968
12.4,246.79531,11.19034,,15.1968
6.9,245.24126,-56.09164,,18.23817
9.99,226.70991,27.99859,M0.0,20.5266
9.99,226.70991,27.99859,M1,20.5266
9.99,226.70991,27.99859,M0.0,20.5266
11.945,223.54147,-41.61299,M2.5,20.1903
11.945,223.54147,-41.61299,M2.5,20.1903
11.945,223.54147,-41.61299,M2.5,20.1903
11.945,223.54147,-41.61299,M2.5,20.1903
11.945,223.54147,-41.61299,M2.5,20.1903
11.945,223.54147,-41.61299,M2.5,20.1903
12.57,206.43154,-27.47443,M4,5.37484
12.57,206.43154,-27.47443,M4,5.37484
12.062,234.21914,-33.03266,M2.5,23.619
7.7,164.94013,42.66615,M0.0 V,6.33256
7.7,164.94013,42.66615,M0 V,6.33256
12.332,206.23529,21.75667,,29.4214
12.332,206.23529,21.75667,M1.5,29.4214
12.332,206.23529,21.75667,,29.4214
12.332,206.23529,21.75667,M1.5,29.4214
12.332,206.23529,21.75667,,29.4214
12.332,206.23529,21.75667,,29.4214
12.332,206.23529,21.75667,,29.4214
12.332,206.23529,21.75667,M1.5,29.4214
12.332,206.23529,21.75667,,29.4214
12.332,206.23529,21.75667,,29.4214
12.332,206.23529,21.75667,,29.4214
13.74,218.15071,17.28798,,27.3644
13.74,218.15071,17.28798,,27.3644
13.74,218.15071,17.28798,,27.3644
15.18,157.24389,36.96199,M5.5 V,9.48637
15.18,157.24389,36.96199,M5.5 V,9.48637
15.18,157.24389,36.96199,M5.5 V,9.48637
10.91,253.88843,22.08045,M2.5 V,9.44181
10.91,253.88843,22.08045,M2.5 V,9.44181
10.91,253.88843,22.08045,,9.44181
10.91,253.88843,22.08045,M2.5 V,9.44181
10.91,253.88843,22.08045,M2.5 V,9.44181
10.91,253.88843,22.08045,M2.5 V,9.44181
11.938,276.22112,25.8085,M2.5,20.3779
10.153,272.24323,5.6589,,9.41263
10.153,272.24323,5.6589,M1.0 V,9.41263
10.153,272.24323,5.6589,M1.0 V,9.41263
10.153,272.24323,5.6589,M1.0 V,9.41263
10.153,272.24323,5.6589,M1.0 V,9.41263
13.04,14.08223,82.4285,M4.0 V,13.743
